Year,Month,Data_value
2003,4,1586.3
2003,5,1676.5
2003,6,1552.4
2003,7,1687
2003,8,1684.8
2003,9,1632.9
2003,1,1741.5
2003,11,1737.1
2003,12,2114.9
2004,1,1732.1
2004,2,1642.1
2004,3,1783.3
2004,4,1778.6
2004,5,1793.2
2004,6,1730
2004,7,1855.4
2004,8,1791.6
2004,9,1791.5
2004,1,1847.8
2004,11,1877.7
2004,12,2291.6
2005,1,1838.9
2005,2,1746.2
2005,3,1932.5
2005,4,1917.4
2005,5,1907.8
2005,6,1882.7
2005,7,1977.6
2005,8,1959.8
2005,9,1954.4
2005,1,2013.1
2005,11,2049.2
2005,12,2464
2006,1,1974.8
2006,2,1876.1
2006,3,2116.4
2006,4,2040.7
2006,5,2115.8
2006,6,2069.1
2006,7,2128.4
2006,8,2143.3
2006,9,2112.9
2006,1,2170.3
2006,11,2243
2006,12,2707.3
2007,1,2182.7
2007,2,2088.9
2007,3,2342.2
2007,4,2234.2
2007,5,2333.4
2007,6,2262.2
2007,7,2306.5
2007,8,2369.2
2007,9,2293.3
2007,1,2379.8
2007,11,2464.4
2007,12,2907.7
2008,1,2374.9
2008,2,2324.2
2008,3,2437
2008,4,2375.4
2008,5,2507.1
2008,6,2296.3
2008,7,2459.3
2008,8,2480.4
2008,9,2413.8
2008,1,2587.9
2008,11,2547.1
2008,12,3022.2
2009,1,2513.7
2009,2,2341.3
2009,3,2549.9
2009,4,2528.3
2009,5,2631
2009,6,2454.7
2009,7,2632.8
2009,8,2605.4
2009,9,2557.1
2009,1,2697.3
2009,11,2652.6
2009,12,3211.2
2010,1,2641.8
2010,2,2477.2
2010,3,2752.5
2010,4,2654
2010,5,2704
2010,6,2592.3
2010,7,2781.9
2010,8,2704.6
2010,9,2708.2
2010,1,2865.7
2010,11,2876.5
2010,12,3454
2011,1,2803.6
2011,2,2650.3
2011,3,2978.2
2011,4,2923
2011,5,2916.1
2011,6,2837.2
2011,7,2979.9
2011,8,2938.8
2011,9,2899.5
2011,1,3020.3
2011,11,3043.6
2011,12,3636.7
2012,1,2946.2
2012,2,2913.5
2012,3,3148.6
2012,4,2974
2012,5,3127.5
2012,6,3002.8
